,Chart Date,Title,Artist,Number of Weeks In Top 100
163,2016-12-03,Black Beatles,Rae Sremmurd Featuring Gucci Mane,10
164,2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane,9
165,2016-11-19,Closer,The Chainsmokers Featuring Halsey,14
166,2016-11-12,Closer,The Chainsmokers Featuring Halsey,13
167,2016-11-05,Closer,The Chainsmokers Featuring Halsey,12
168,2016-10-29,Closer,The Chainsmokers Featuring Halsey,11
169,2016-10-22,Closer,The Chainsmokers Featuring Halsey,10
170,2016-10-15,Closer,The Chainsmokers Featuring Halsey,9
171,2016-10-08,Closer,The Chainsmokers Featuring Halsey,8
172,2016-10-01,Closer,The Chainsmokers Featuring Halsey,7
173,2016-09-24,Closer,The Chainsmokers Featuring Halsey,6
174,2016-09-17,Closer,The Chainsmokers Featuring Halsey,5
175,2016-09-10,Closer,The Chainsmokers Featuring Halsey,4
176,2016-09-03,Closer,The Chainsmokers Featuring Halsey,3
177,2016-08-27,Cheap Thrills,Sia Featuring Sean Paul,26
178,2016-08-20,Cheap Thrills,Sia Featuring Sean Paul,25
179,2016-08-13,Cheap Thrills,Sia Featuring Sean Paul,24
180,2016-08-06,Cheap Thrills,Sia Featuring Sean Paul,23
181,2016-07-30,One Dance,Drake Featuring WizKid & Kyla,15
182,2016-07-23,One Dance,Drake Featuring WizKid & Kyla,14
183,2016-07-16,One Dance,Drake Featuring WizKid & Kyla,13
184,2016-07-09,One Dance,Drake Featuring WizKid & Kyla,12
185,2016-07-02,One Dance,Drake Featuring WizKid & Kyla,11
186,2016-06-25,One Dance,Drake Featuring WizKid & Kyla,10
187,2016-06-18,One Dance,Drake Featuring WizKid & Kyla,9
188,2016-06-11,One Dance,Drake Featuring WizKid & Kyla,8
189,2016-06-04,One Dance,Drake Featuring WizKid & Kyla,7
190,2016-05-28,Can't Stop The Feeling!,Justin Timberlake,1
191,2016-05-21,One Dance,Drake Featuring WizKid & Kyla,5
192,2016-05-14,Panda,Desiigner,10
193,2016-05-07,Panda,Desiigner,9
194,2016-04-30,Work,Rihanna Featuring Drake,12
195,2016-04-23,Work,Rihanna Featuring Drake,11
196,2016-04-16,Work,Rihanna Featuring Drake,10
197,2016-04-09,Work,Rihanna Featuring Drake,9
198,2016-04-02,Work,Rihanna Featuring Drake,8
199,2016-03-26,Work,Rihanna Featuring Drake,7
200,2016-03-19,Work,Rihanna Featuring Drake,6
201,2016-03-12,Work,Rihanna Featuring Drake,5
202,2016-03-05,Work,Rihanna Featuring Drake,4
203,2016-02-27,Love Yourself,Justin Bieber,13
204,2016-02-20,Pillowtalk,Zayn,1
205,2016-02-13,Love Yourself,Justin Bieber,11
206,2016-02-06,Sorry,Justin Bieber,13
207,2016-01-30,Sorry,Justin Bieber,12
208,2016-01-23,Sorry,Justin Bieber,11
209,2016-01-16,Hello,Adele,10
210,2016-01-09,Hello,Adele,9
211,2016-01-02,Hello,Adele,8
212,2015-12-26,Hello,Adele,7
213,2015-12-19,Hello,Adele,6
214,2015-12-12,Hello,Adele,5
215,2015-12-05,Hello,Adele,4
216,2015-11-28,Hello,Adele,3
217,2015-11-21,Hello,Adele,2
218,2015-11-14,Hello,Adele,1
219,2015-11-07,The Hills,The Weeknd,22
