,Chart Date,Title,Artist,Number of Weeks In Top 100
58,2018-11-03,Girls Like You,Maroon 5 Featuring Cardi B,22
59,2018-10-27,Girls Like You,Maroon 5 Featuring Cardi B,21
60,2018-10-20,Girls Like You,Maroon 5 Featuring Cardi B,20
61,2018-10-13,Girls Like You,Maroon 5 Featuring Cardi B,19
62,2018-10-06,Girls Like You,Maroon 5 Featuring Cardi B,18
63,2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B,17
64,2018-09-22,In My Feelings,Drake,11
65,2018-09-15,In My Feelings,Drake,10
66,2018-09-08,In My Feelings,Drake,9
67,2018-09-01,In My Feelings,Drake,8
68,2018-08-25,In My Feelings,Drake,7
69,2018-08-18,In My Feelings,Drake,6
70,2018-08-11,In My Feelings,Drake,5
71,2018-08-04,In My Feelings,Drake,4
72,2018-07-28,In My Feelings,Drake,3
73,2018-07-21,In My Feelings,Drake,2
74,2018-07-14,Nice For What,Drake,13
75,2018-07-07,I Like It,"Cardi B, Bad Bunny & J Balvin",12
76,2018-06-30,Sad!,XXXTENTACION,16
77,2018-06-23,Nice For What,Drake,10
78,2018-06-16,Psycho,Post Malone Featuring Ty Dolla $ign,15
79,2018-06-09,Nice For What,Drake,8
80,2018-06-02,Nice For What,Drake,7
81,2018-05-26,This Is America,Childish Gambino,2
82,2018-05-19,This Is America,Childish Gambino,1
83,2018-05-12,Nice For What,Drake,4
84,2018-05-05,Nice For What,Drake,3
85,2018-04-28,Nice For What,Drake,2
86,2018-04-21,Nice For What,Drake,1
87,2018-04-14,God's Plan,Drake,11
88,2018-04-07,God's Plan,Drake,10
89,2018-03-31,God's Plan,Drake,9
90,2018-03-24,God's Plan,Drake,8
91,2018-03-17,God's Plan,Drake,7
92,2018-03-10,God's Plan,Drake,6
93,2018-03-03,God's Plan,Drake,5
94,2018-02-24,God's Plan,Drake,4
95,2018-02-17,God's Plan,Drake,3
96,2018-02-10,God's Plan,Drake,2
97,2018-02-03,God's Plan,Drake,1
98,2018-01-27,Havana,Camila Cabello Featuring Young Thug,23
99,2018-01-20,Perfect,Ed Sheeran,20
100,2018-01-13,Perfect,Ed Sheeran,19
101,2018-01-06,Perfect,Ed Sheeran,18
102,2018-01-03,Perfect,Ed Sheeran,17
103,2017-12-30,Perfect,Ed Sheeran,16
104,2018-01-13,Perfect,Ed Sheeran,19
105,2018-01-06,Perfect,Ed Sheeran,18
106,2018-01-03,Perfect,Ed Sheeran,17
107,2017-12-30,Perfect,Ed Sheeran,16
108,2017-12-23,Perfect,Ed Sheeran,15
109,2017-12-16,Rockstar,Post Malone Featuring 21 Savage,11
110,2017-12-09,Rockstar,Post Malone Featuring 21 Savage,10
111,2017-12-02,Rockstar,Post Malone Featuring 21 Savage,9
112,2017-11-25,Rockstar,Post Malone Featuring 21 Savage,8
113,2017-11-18,Rockstar,Post Malone Featuring 21 Savage,7
114,2017-11-11,Rockstar,Post Malone Featuring 21 Savage,6
115,2017-11-04,Rockstar,Post Malone Featuring 21 Savage,5
116,2017-10-28,Rockstar,Post Malone Featuring 21 Savage,4
117,2017-10-21,Bodak Yellow (Money Moves),Cardi B,14
118,2017-10-14,Bodak Yellow (Money Moves),Cardi B,13
119,2017-10-07,Bodak Yellow (Money Moves),Cardi B,12
120,2017-09-30,Look What You Made Me Do,Taylor Swift,4
121,2017-09-23,Look What You Made Me Do,Taylor Swift,3
122,2017-09-16,Look What You Made Me Do,Taylor Swift,2
123,2017-09-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,32
124,2017-09-02,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,31
125,2017-08-26,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,30
126,2017-08-19,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,29
127,2017-08-12,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,28
128,2017-08-05,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,27
129,2017-07-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,26
130,2017-07-22,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,25
131,2017-07-15,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,24
132,2017-07-08,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,23
133,2017-07-01,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,22
134,2017-06-24,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,21
135,2017-06-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20
136,2017-06-10,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,19
137,2017-06-03,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,18
138,2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17
139,2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
140,2017-05-13,That's What I Like,Bruno Mars,15
141,2017-05-06,Humble.,Kendrick Lamar,3
142,2017-04-29,Shape Of You,Ed Sheeran,14
143,2017-04-22,Shape Of You,Ed Sheeran,13
144,2017-04-15,Shape Of You,Ed Sheeran,12
145,2017-04-08,Shape Of You,Ed Sheeran,11
146,2017-04-01,Shape Of You,Ed Sheeran,10
147,2017-03-25,Shape Of You,Ed Sheeran,9
148,2017-03-18,Shape Of You,Ed Sheeran,8
149,2017-03-11,Shape Of You,Ed Sheeran,7
150,2017-03-04,Shape Of You,Ed Sheeran,6
151,2017-02-25,Shape Of You,Ed Sheeran,5
152,2017-02-18,Shape Of You,Ed Sheeran,4
153,2017-02-11,Bad And Boujee,Migos Featuring Lil Uzi Vert,11
154,2017-02-04,Bad And Boujee,Migos Featuring Lil Uzi Vert,10
155,2017-01-28,Shape Of You,Ed Sheeran,1
156,2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert,8
157,2017-01-14,Black Beatles,Rae Sremmurd Featuring Gucci Mane,16
158,2017-01-07,Starboy,The Weeknd Featuring Daft Punk,14
159,2016-12-31,Black Beatles,Rae Sremmurd Featuring Gucci Mane,14
160,2016-12-24,Black Beatles,Rae Sremmurd Featuring Gucci Mane,13
161,2016-12-17,Black Beatles,Rae Sremmurd Featuring Gucci Mane,12
162,2016-12-10,Black Beatles,Rae Sremmurd Featuring Gucci Mane,11
163,2016-12-03,Black Beatles,Rae Sremmurd Featuring Gucci Mane,10
164,2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane,9
165,2016-11-19,Closer,The Chainsmokers Featuring Halsey,14
166,2016-11-12,Closer,The Chainsmokers Featuring Halsey,13
167,2016-11-05,Closer,The Chainsmokers Featuring Halsey,12
168,2016-10-29,Closer,The Chainsmokers Featuring Halsey,11
169,2016-10-22,Closer,The Chainsmokers Featuring Halsey,10
170,2016-10-15,Closer,The Chainsmokers Featuring Halsey,9
171,2016-10-08,Closer,The Chainsmokers Featuring Halsey,8
172,2016-10-01,Closer,The Chainsmokers Featuring Halsey,7
173,2016-09-24,Closer,The Chainsmokers Featuring Halsey,6
174,2016-09-17,Closer,The Chainsmokers Featuring Halsey,5
175,2016-09-10,Closer,The Chainsmokers Featuring Halsey,4
176,2016-09-03,Closer,The Chainsmokers Featuring Halsey,3
